x,y,z,Class
-75.5,-132.5,250.13,yaw
159.49,-15.69,174.77,yaw
-31.17,40.93,-85.71,yaw
-121.83,79.14,-250.14,yaw
-45.76,61.8,-250.14,yaw
-33.99,114.47,-161.21,yaw
57.63,-4.25,81.1,yaw
-40.69,-77.43,250.13,yaw
94.69,12.69,250.13,yaw
-89.56,74.56,250.13,yaw
13.4,-103.32,-99.66,yaw
-162.5,99.4,-250.14,yaw
20.98,152.53,-250.14,yaw
-39.08,111.47,-250.14,yaw
14.91,16.73,48.29,yaw
51.75,-127.05,250.13,yaw
127.91,-1.14,250.13,yaw
-54.4,91.94,169.69,yaw
12.08,-20.91,-194.62,yaw
-147.64,24.27,-250.14,yaw
34.02,177.71,-250.14,yaw
-20.1,48.41,-74.01,yaw
141.38,-89,250.13,yaw
55.66,-141.11,250.13,yaw
77.76,72.63,114.79,yaw
-97.89,121.93,-250.14,yaw
-137.04,47.91,-250.14,yaw
153.06,108.29,57.2,yaw
21.2,-54.17,211.76,yaw
-8.83,-79.31,250.13,yaw
82.62,-13.79,141.79,yaw
-87.88,162.16,-212.43,yaw
-88.37,72.91,-250.14,yaw
54.28,140.5,-250.14,yaw
-12.05,65.51,-84.37,yaw
66.82,-117.62,250.13,yaw
156.94,-61.36,250.13,yaw
-0.02,67.73,110.27,yaw
-124.73,148.29,-250.14,yaw
1.75,198.49,-250.14,yaw
-3.94,23.69,-109.44,yaw
111.98,-78.66,250.13,yaw
51.43,-30.11,250.13,yaw
-65.18,71.06,102.93,yaw
-75.82,226.66,-250.14,yaw
-106.84,116.94,-250.14,yaw
79.02,149.69,-85.5,yaw
101.24,-102.39,250.13,yaw
-75.39,-183.22,250.13,yaw
75.92,23.12,183.79,yaw
5.49,39.27,-93.83,yaw
-120.43,87.9,-250.14,yaw
46.33,110.37,-250.14,yaw
-50.34,47.63,-192.22,yaw
35.16,-48.74,250.13,yaw
206.48,-117.37,250.13,yaw
83.34,16.55,250.13,yaw
-82.17,29.66,54.82,yaw
-91.19,152.89,-250.14,yaw
-16.32,193.76,-250.14,yaw
-66.7,117.35,-250.14,yaw
-23.42,15.08,-10.24,yaw
80.51,-71.92,250.13,yaw
206.72,-133.21,250.13,yaw
7.53,116.26,121.77,yaw
-148.18,83.09,-180.24,yaw
-153.04,-48.47,-250.14,yaw
112.65,156.24,-250.14,yaw
22.3,53.18,33.93,yaw
52.94,-199.93,250.13,yaw
175.83,-77.23,250.13,yaw
-68.88,97.56,59.02,yaw
-41.15,63.85,-144.15,yaw
-146.08,-114.55,-250.14,yaw
60.22,192.19,-250.14,yaw
-23.06,61.79,-79.97,yaw
83.1,-21.46,250.13,yaw
31.15,-186.63,250.13,yaw
-166.96,160.72,250.13,yaw
32.46,-11.59,-8.45,yaw
64.66,-33.34,-250.14,yaw
-27.21,150.67,-250.14,yaw
-53.6,100.9,-250.14,yaw
-35.99,41.91,-21.97,yaw
67.15,-57.66,250.13,yaw
168.69,-96.95,250.13,yaw
-10.82,61.82,250.13,yaw
-47.68,12.42,50.49,yaw
-24.56,85.21,-250.14,yaw
-71.67,98.37,-250.14,yaw
55.3,109,-250.14,yaw
-58.26,27.32,-193.04,yaw
29.48,-32.27,228.72,yaw
63.34,-88.75,250.13,yaw
83.55,-39.87,250.13,yaw
-71.78,69.3,159.33,yaw
